[],['Смесь NAN 1 800г с 0месяцев'],"[<p class=""Td"">907 ₽</p>]"
[],['Cмесь NAN на козьем молоке 400г с 0месяцев'],"[<p class=""Td"">1 223 ₽</p>]"
[],['Смесь NAN Тройной комфорт сухая молочная 800г с 0месяцев'],"[<p class=""Td"">1 421 ₽</p>]"
[],['Смесь NAN безлактозная 400г с 0 до 6мес'],"[<p class=""Td"">1 145 ₽</p>]"
[],['Смесь NAN Supreme 800г с 0месяцев'],"[<p class=""Td"">1 985 ₽</p>]"
[],['Смесь NAN 1 кисломолочный 400г с 0мес'],"[<p class=""Td"">829 ₽</p>]"
[],['Смесь NAN PRE 400г с 0мес'],"[<p class=""Td"">1 449 ₽</p>]"
[],['Смесь NAN тройной комфорт 400г с 0мес'],"[<p class=""Td"">953 ₽</p>]"
[],['Смесь NAN 1 400г с 0месяцев'],"[<p class=""Td"">635 ₽</p>]"
[],['Смесь NAN антирефлюкс 400 г с 0 мес'],"[<p class=""Td"">1 213 ₽</p>]"
[],['Смесь NAN Supreme 400г с 0месяцев'],"[<p class=""Td"">1 103 ₽</p>]"
[],['Смесь NAN 1 сухая молочная гипоаллергенная 400г с 0месяцев'],"[<p class=""Td"">1 019 ₽</p>]"
