"[<span class=""price-label__integer"">461</span>, <span class=""price-label__integer"">659</span>]","[<div class=""sku-card-small-header__title"">Напиток кисломолочный NAN 3, с 12 месяцев, 400г</div>]"
"[<span class=""price-label__integer"">688</span>, <span class=""price-label__integer"">725</span>]","[<div class=""sku-card-small-header__title"">Смесь молочная для роста, иммунитета и развития мозга NAN 2 Optipro, с 6 месяцев, 400г</div>]"
"[<span class=""price-label__integer"">688</span>, <span class=""price-label__integer"">725</span>]","[<div class=""sku-card-small-header__title"">Смесь молочная для роста, иммунитета и развития мозга NAN 1 Optipro, с 0 месяцев, 400г</div>]"
"[<span class=""price-label__integer"">736</span>, <span class=""price-label__integer"">775</span>]","[<div class=""sku-card-small-header__title"">Молочко детское для роста, иммунитета и развития мозга NAN 4 Optipro, с 18 месяцев, 400г</div>]"
"[<span class=""price-label__integer"">1 008</span>, <span class=""price-label__integer"">1 062</span>]","[<div class=""sku-card-small-header__title"">Смесь молочная для роста, иммунитета и развития мозга NAN 2 Optipro, с 6 месяцев, 800г</div>]"
"[<span class=""price-label__integer"">998</span>, <span class=""price-label__integer"">1 051</span>]","[<div class=""sku-card-small-header__title"">Смесь молочная для роста, иммунитета и развития мозга NAN 1 Optipro, с 0 месяцев, 800г</div>]"
"[<span class=""price-label__integer"">1 159</span>, <span class=""price-label__integer"">1 220</span>]","[<div class=""sku-card-small-header__title"">Молочко детское NAN 3 гипоаллергенное, с 12 месяцев, 400г</div>]"
"[<span class=""price-label__integer"">1 199</span>, <span class=""price-label__integer"">1 262</span>]","[<div class=""sku-card-small-header__title"">Смесь молочная NAN 3 Supreme, с 12 месяцев, 400г</div>]"
"[<span class=""price-label__integer"">1 259</span>, <span class=""price-label__integer"">1 325</span>]","[<div class=""sku-card-small-header__title"">Смесь безлактозная NAN 1 для диетического питания, с 0 месяцев, 400г</div>]"
"[<span class=""price-label__integer"">1 279</span>, <span class=""price-label__integer"">1 346</span>]","[<div class=""sku-card-small-header__title"">Смесь молочная NAN 1 OptiPro, с 0 месяцев, 2х525г</div>]"
"[<span class=""price-label__integer"">1 294</span>, <span class=""price-label__integer"">1 362</span>]","[<div class=""sku-card-small-header__title"">Смесь молочная NAN Optipro 2, с 6 месяцев, 3х350г</div>]"
"[<span class=""price-label__integer"">1 399</span>, <span class=""price-label__integer"">1 788</span>]","[<div class=""sku-card-small-header__title"">Молочко NAN 3 Optipro, с 12 месяцев, 1050г</div>]"
"[<span class=""price-label__integer"">1 399</span>, <span class=""price-label__integer"">1 788</span>]","[<div class=""sku-card-small-header__title"">Молочко NAN 4 Optipro, с 18 месяцев, 1050г</div>]"
"[<span class=""price-label__integer"">1 449</span>, <span class=""price-label__integer"">1 525</span>]","[<div class=""sku-card-small-header__title"">Смесь NAN на козьем молоке, с 0 месяцев, 400г</div>]"
"[<span class=""price-label__integer"">1 629</span>, <span class=""price-label__integer"">1 714</span>]","[<div class=""sku-card-small-header__title"">Молочко детское NAN 3 на козьем молоке, c 12 месяцев, 400г</div>]"
"[<span class=""price-label__integer"">1 729</span>, <span class=""price-label__integer"">1 820</span>]","[<div class=""sku-card-small-header__title"">Молочко детское для роста, иммунитета и развития мозга NAN 4 Optipro, с 18 месяцев, 800г</div>]"
"[<span class=""price-label__integer"">1 829</span>, <span class=""price-label__integer"">1 925</span>]","[<div class=""sku-card-small-header__title"">Смесь молочная NAN 2 гипоаллергенная, с 6 месяцев, 800г</div>]"
"[<span class=""price-label__integer"">1 829</span>, <span class=""price-label__integer"">1 925</span>]","[<div class=""sku-card-small-header__title"">Смесь молочная NAN 1 гипоаллергенная, с 0 месяцев, 800г</div>]"
"[<span class=""price-label__integer"">1 948</span>, <span class=""price-label__integer"">2 051</span>]","[<div class=""sku-card-small-header__title"">Смесь молочная NAN Тройной комфорт, с 0 месяцев, 800г</div>]"
"[<span class=""price-label__integer"">2 179</span>, <span class=""price-label__integer"">2 293</span>]","[<div class=""sku-card-small-header__title"">Смесь молочная NAN Supreme с олигосахаридами, с 0 месяцев, 800г</div>]"
"[<span class=""price-label__integer"">2 138</span>, <span class=""price-label__integer"">2 251</span>]","[<div class=""sku-card-small-header__title"">Смесь молочная NAN Supreme 2, с 6 месяцев, 800г</div>]"
